YEAR_STR,TMEAN,TDMEAN,TMEAN_INDEX,OVERALL_MED_TEMP,OVERALL_MED_INDEX,DEVIATION_TEMP,DEVIATION_INDEX
1983,76.2,68.6,76.7,77.2,77.7,-1.0,-1.0
1984,76.3,68.5,76.8,77.2,77.7,-0.9000000000000057,-0.9000000000000057
1985,77.5,69.4,78.0,77.2,77.7,0.29999999999999716,0.29999999999999716
1986,78.0,70.5,78.6,77.2,77.7,0.7999999999999972,0.8999999999999915
1987,76.4,68.5,76.9,77.2,77.7,-0.7999999999999972,-0.7999999999999972
1988,76.4,68.0,76.8,77.2,77.7,-0.7999999999999972,-0.9000000000000057
1989,77.1,69.3,77.6,77.2,77.7,-0.10000000000000853,-0.10000000000000853
1990,76.7,68.9,77.2,77.2,77.7,-0.5,-0.5
1991,77.6,70.0,78.2,77.2,77.7,0.3999999999999915,0.5
1992,76.15,68.3,76.6,77.2,77.7,-1.0499999999999972,-1.1000000000000085
1993,77.0,69.5,77.5,77.2,77.7,-0.20000000000000284,-0.20000000000000284
1994,78.0,71.6,78.6,77.2,77.7,0.7999999999999972,0.8999999999999915
1995,78.4,70.5,79.0,77.2,77.7,1.2000000000000028,1.2999999999999972
1996,77.0,68.95,77.5,77.2,77.7,-0.20000000000000284,-0.20000000000000284
1997,77.6,70.5,78.2,77.2,77.7,0.3999999999999915,0.5
1998,77.2,70.7,77.8,77.2,77.7,0.0,0.09999999999999432
1999,76.0,67.9,76.4,77.2,77.7,-1.2000000000000028,-1.2999999999999972
2000,74.95,67.65,75.4,77.2,77.7,-2.25,-2.299999999999997
2001,75.7,68.7,76.2,77.2,77.7,-1.5,-1.5
2002,77.5,69.2,78.0,77.2,77.7,0.29999999999999716,0.29999999999999716
2003,78.9,71.7,79.5,77.2,77.7,1.7000000000000028,1.7999999999999972
2004,76.4,68.25,76.9,77.2,77.7,-0.7999999999999972,-0.7999999999999972
2005,76.6,70.1,77.2,77.2,77.7,-0.6000000000000085,-0.5
2006,75.8,69.2,76.3,77.2,77.7,-1.4000000000000057,-1.4000000000000057
2007,76.4,68.8,76.9,77.2,77.7,-0.7999999999999972,-0.7999999999999972
2008,75.95,67.95,76.4,77.2,77.7,-1.25,-1.2999999999999972
2009,77.6,69.7,78.1,77.2,77.7,0.3999999999999915,0.3999999999999915
2010,76.6,68.6,77.1,77.2,77.7,-0.6000000000000085,-0.6000000000000085
2011,76.7,68.3,77.2,77.2,77.7,-0.5,-0.5
2012,76.80000000000001,68.6,77.3,77.2,77.7,-0.3999999999999915,-0.4000000000000057
2013,77.8,70.2,78.4,77.2,77.7,0.5999999999999943,0.7000000000000028
2014,76.8,68.9,77.3,77.2,77.7,-0.4000000000000057,-0.4000000000000057
2015,78.9,71.6,79.5,77.2,77.7,1.7000000000000028,1.7999999999999972
2016,77.8,70.05,78.4,77.2,77.7,0.5999999999999943,0.7000000000000028
2017,77.3,70.5,77.9,77.2,77.7,0.09999999999999432,0.20000000000000284
2018,77.8,71.5,78.4,77.2,77.7,0.5999999999999943,0.7000000000000028
2019,79.3,71.1,79.9,77.2,77.7,2.0999999999999943,2.200000000000003
2020,79.3,72.4,80.0,77.2,77.7,2.0999999999999943,2.299999999999997
2021,78.2,71.3,78.8,77.2,77.7,1.0,1.0999999999999943
2022,78.3,71.0,78.9,77.2,77.7,1.0999999999999943,1.2000000000000028
