COUNTY	MIN_TEMP_HIGHEST	MAX_TEMP_HIGHEST	MEAN_TEMP_HIGHEST	MIN_INDEX_HIGHEST	MAX_INDEX_HIGHEST	MEAN_INDEX_HIGHEST	SL_COUNTER	HOT_AVG	HOT_LONGEST	HOT_LONGEST_DAYS
Alachua	79.2	99.6	88.2	79.7	133.2	98.3	119	11	66	62
Baker	77.6	100.8	88.4	78.2	137.3	98.9	112	11	109	71
Bay	80.2	98.6	88.5	84.1	131.3	99.3	101	10	26	40
Bradford	78.1	99.9	88.6	78.7	138.2	100.1	115	11	65	61
Brevard	81.2	96.4	86.6	86.4	126.0	98.9	94	9	91	84
Broward	81.2	97.4	87.8	85.6	130.6	99.8	135	13	52	69
Calhoun	78.3	101.1	87.9	78.8	141.8	100.8	107	10	27	41
Charlotte	79.1	96.8	86.2	79.6	131.7	97.9	126	12	123	77
Citrus	79.2	99.4	86.4	79.9	133.6	98.1	123	12	8	59
Clay	78.9	100.6	88.4	79.6	138.3	100.1	106	10	55	72
Collier	78.9	98.1	87.3	79.6	138.3	100.9	146	14	73	95
Columbia	77.2	99.7	88.1	77.8	132.7	97.0	121	12	92	43
DeSoto	77.5	98.0	85.7	78.0	134.4	97.1	117	11	115	96
Dixie	78.7	99.7	88.7	79.3	138.6	99.8	110	11	42	44
Duval	81.4	100.4	89.1	87.4	132.1	99.7	110	11	83	44
Escambia	79.9	99.3	87.7	83.2	129.4	100.1	107	10	19	29
Flagler	78.6	100.0	86.6	79.3	135.6	99.1	108	10	79	74
Franklin	78.7	100.6	88.4	79.3	134.6	97.7	99	9	25	47
Gadsden	77.2	99.5	86.4	77.5	136.0	97.4	106	10	100	36
Gilchrist	79.0	101.4	90.2	79.3	141.0	102.9	114	11	110	50
Glades	77.7	97.4	86.2	78.3	131.1	97.0	126	12	62	95
Gulf	78.8	100.3	88.3	79.4	135.1	97.5	99	9	32	38
Hamilton	77.2	101.9	89.2	77.7	141.9	99.9	108	10	102	42
Hardee	78.0	97.7	86.5	78.6	133.5	99.8	124	12	122	97
Hendry	78.3	98.2	86.7	78.9	136.3	98.8	119	11	15	100
Hernando	79.3	97.5	86.7	79.8	128.1	99.0	123	12	65	68
Highlands	77.8	98.2	87.0	78.3	135.6	98.8	123	12	60	95
Hillsborough	80.7	98.0	87.2	85.0	131.4	100.9	122	12	119	77
Holmes	76.1	101.3	88.1	76.6	138.8	97.2	102	10	34	48
Indian River	79.8	96.8	86.5	83.7	132.7	98.0	120	12	117	79
Jackson	78.7	100.7	87.9	79.2	135.4	98.9	106	10	100	44
Jefferson	76.7	101.8	88.2	77.1	139.9	97.4	113	11	27	57
Lafayette	77.2	101.2	89.0	77.7	140.9	100.1	115	11	70	53
Lake	79.6	98.0	87.5	82.6	132.2	98.4	132	13	127	53
Lee	82.0	96.8	87.6	86.0	128.5	99.0	124	12	122	71
Leon	78.4	102.4	89.7	78.7	137.7	97.6	106	10	27	54
Levy	77.8	98.1	86.6	78.4	139.7	98.4	117	11	67	68
Liberty	77.4	100.6	87.8	77.8	136.5	98.4	113	11	30	41
Madison	77.1	102.7	89.2	77.6	137.7	99.3	106	10	67	47
Manatee	79.1	97.0	86.2	79.8	129.2	99.3	119	11	8	63
Marion	78.1	97.8	86.4	78.7	131.8	98.5	120	12	67	74
Martin	80.8	96.5	86.3	85.4	132.6	99.0	127	12	124	93
Miami-Dade	83.9	97.5	88.0	91.1	130.1	101.7	147	14	56	68
Monroe	82.3	95.9	87.8	87.3	127.3	100.3	135	13	51	69
Nassau	79.0	101.3	88.8	79.7	136.8	99.4	108	10	103	47
Okaloosa	80.4	102.1	88.4	83.3	133.8	100.2	105	10	20	46
Okeechobee	77.5	96.6	85.8	78.1	131.9	97.1	123	12	63	88
Orange	81.2	97.7	88.8	85.6	128.7	100.1	114	11	112	62
Osceola	78.7	98.3	86.8	79.3	135.9	99.2	112	11	110	93
Palm Beach	80.2	95.1	86.2	84.6	128.1	98.7	127	12	125	96
Pasco	79.2	96.9	86.7	79.8	129.8	99.3	129	12	9	56
Pinellas	83.6	96.1	88.3	90.6	126.0	101.3	114	11	5	30
Polk	79.1	98.0	86.8	79.6	132.9	98.8	124	12	122	93
Putnam	79.7	102.0	88.6	83.4	140.7	101.2	121	12	39	45
Santa Rosa	79.0	100.5	88.3	79.4	137.5	100.0	106	10	33	33
Sarasota	80.1	98.3	86.4	84.4	134.5	100.9	117	11	87	88
Seminole	79.6	97.8	87.5	82.2	130.8	98.8	113	11	61	84
St. Johns	80.6	100.8	88.1	85.8	135.3	98.9	100	10	74	63
St. Lucie	80.3	95.8	85.9	84.8	128.7	98.2	117	11	113	84
Sumter	78.5	98.9	87.2	79.1	137.9	97.9	124	12	121	95
Suwannee	77.4	102.6	89.5	77.9	143.6	100.2	113	11	69	47
Taylor	79.0	102.1	87.4	79.8	138.7	98.6	100	10	96	41
Union	78.4	102.0	89.8	79.0	143.0	101.7	108	10	105	74
Volusia	78.9	98.6	87.1	79.6	130.3	98.5	113	11	38	69
Wakulla	77.1	101.9	88.0	77.3	136.7	96.9	107	10	28	37
Walton	77.5	100.4	87.6	77.9	133.1	97.4	107	10	72	31
Washington	77.8	101.1	88.1	78.3	135.1	98.7	105	10	26	40
