YEAR,MEANINDEX_90UP,MAXINDEX_105UP,MAXINDEX_130UP,MININDEX_105UP,MEANINDEX_105UP,TOTAL_DAYS
1983,18,86,0,0,0,365
1984,0,78,0,0,0,366
1985,7,111,2,0,0,365
1986,6,130,0,0,0,365
1987,23,98,0,0,0,365
1988,5,95,0,0,0,366
1989,8,114,0,0,0,365
1990,14,129,0,0,0,365
1991,5,119,0,0,0,365
1992,9,97,0,0,0,366
1993,16,112,0,0,0,365
1994,0,89,0,0,0,365
1995,18,106,1,0,0,365
1996,5,98,0,0,0,366
1997,15,101,1,0,0,365
1998,51,125,3,0,0,365
1999,24,97,4,0,0,365
2000,9,112,1,0,0,366
2001,3,93,0,0,0,365
2002,6,113,0,0,0,365
2003,0,88,0,0,0,365
2004,3,101,0,0,0,366
2005,31,93,0,0,0,365
2006,4,103,0,0,0,365
2007,18,95,0,0,0,365
2008,5,90,0,0,0,366
2009,21,113,0,0,0,365
2010,56,126,1,0,0,365
2011,30,126,0,0,0,365
2012,3,83,0,0,0,366
2013,7,86,0,0,0,365
2014,12,103,0,0,0,365
2015,33,117,0,0,0,365
2016,36,117,0,0,0,366
2017,33,114,0,0,0,365
2018,21,132,0,0,0,365
2019,32,129,0,0,0,365
2020,44,114,0,0,0,366
2021,25,94,0,0,0,365
2022,38,118,0,0,0,365
